,title,year,country,style,rating_num,evaluate_num,quote,href
212,二十二,2015,中国大陆,纪录片,8.7,270140,有一些东西不应该被遗忘。,https://movie.douban.com/subject/26430107/
213,奇迹男孩,2017,美国 中国香港,剧情 儿童 家庭,8.6,507822,世界不完美，爱会有奇迹。,https://movie.douban.com/subject/26787574/
214,背靠背，脸对脸,1994,中国大陆 中国香港,剧情,9.5,98708,,https://movie.douban.com/subject/1307856/
215,青蛇,1993,中国香港 中国大陆,剧情 爱情 奇幻 古装,8.6,467558,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,https://movie.douban.com/subject/1303394/
216,房间,2015,爱尔兰 加拿大 英国 美国,剧情 家庭,8.8,342046,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,https://movie.douban.com/subject/25724855/
217,小丑,2019,美国 加拿大,剧情 犯罪 惊悚,8.7,900626,,https://movie.douban.com/subject/27119724/
218,新龙门客栈,1992,中国香港 中国大陆,动作 爱情 武侠 古装,8.6,396574,嬉笑怒骂，调风动月。,https://movie.douban.com/subject/1292287/
219,波西米亚狂想曲,2018,英国 美国,剧情 传记 同性 音乐,8.6,532698,,https://movie.douban.com/subject/5300054/
220,疯狂的麦克斯4：狂暴之路,2015,澳大利亚 美国,动作 科幻 冒险,8.6,471476,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~,https://movie.douban.com/subject/3592854/
221,无耻混蛋,2009,德国 美国,剧情 犯罪,8.6,425784,昆汀同学越来越变态了，比北野武还杜琪峰。,https://movie.douban.com/subject/1438652/
222,魂断蓝桥,1940,美国,剧情 爱情 战争,8.8,249274,中国式内在的美国电影。,https://movie.douban.com/subject/1293964/
223,血钻,2006,美国 德国 英国,剧情 惊悚 冒险,8.7,336740,每个美丽事物背后都是滴血的现实。,https://movie.douban.com/subject/1428175/
224,步履不停,2008,日本,剧情 家庭,8.8,246403,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,https://movie.douban.com/subject/2222996/
225,黑客帝国2：重装上阵,2003,美国,动作 科幻,8.7,366312,一个精彩的世界观正在缓缓建立。,https://movie.douban.com/subject/1304141/
226,千钧一发,1997,美国,剧情 科幻 惊悚,8.8,252389,一部能引人思考的科幻励志片。,https://movie.douban.com/subject/1300117/
227,彗星来的那一夜,2013,美国 英国,科幻 悬疑 惊悚,8.5,494197,小成本大魅力。,https://movie.douban.com/subject/25807345/
228,战争之王,2005,法国 德国 美国,剧情 犯罪,8.7,325301,做一颗让别人需要你的棋子。,https://movie.douban.com/subject/1419936/
229,崖上的波妞,2008,日本,动画 奇幻 冒险,8.6,424342,,https://movie.douban.com/subject/1959877/
230,燃情岁月,1994,美国,剧情 爱情 战争 西部,8.8,260585,传奇，不是每个人都可以拥有。,https://movie.douban.com/subject/1295865/
231,谍影重重2,2004,美国 德国,动作 悬疑 惊悚,8.7,318435,谁说王家卫镜头很晃？,https://movie.douban.com/subject/1308767/
232,爱乐之城,2016,美国,剧情 爱情 歌舞,8.4,772562,,https://movie.douban.com/subject/25934014/
233,海洋,2009,法国 瑞士 西班牙 美国 阿联酋 摩纳哥,纪录片,9.1,147506,大海啊，不全是水。,https://movie.douban.com/subject/3443389/
234,阿飞正传,1990,中国香港,犯罪 剧情 爱情,8.5,452528,王家卫是一种风格，张国荣是一个代表。,https://movie.douban.com/subject/1305690/
235,谍影重重,2002,美国 德国 捷克,动作 悬疑 惊悚,8.6,382470,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,https://movie.douban.com/subject/1304102/
236,穿越时空的少女,2006,日本,剧情 爱情 科幻 动画,8.6,348432,爱上未来的你。 ,https://movie.douban.com/subject/1937946/
237,再次出发之纽约遇见你,2013,美国,喜剧 爱情 音乐,8.6,385994,爱我就给我看你的播放列表。,https://movie.douban.com/subject/6874403/
238,香水,2006,德国 法国 西班牙 美国 比利时,剧情 犯罪 奇幻,8.5,499594,一个单凭体香达到高潮的男人。,https://movie.douban.com/subject/1760622/
239,地球上的星星,2007,印度,剧情 儿童 家庭,8.9,186133,天使保护事件始末。,https://movie.douban.com/subject/2363506/
240,我爱你,2011,韩国,剧情 爱情,9.1,149215,你要相信，这世上真的有爱存在，不管在什么年纪 ,https://movie.douban.com/subject/5908478/
241,朗读者,2008,美国 德国,剧情 爱情,8.6,421033,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 ,https://movie.douban.com/subject/2213597/
242,火星救援,2015,英国 美国 匈牙利 约旦,剧情 科幻 冒险,8.5,637045,,https://movie.douban.com/subject/25864085/
243,完美陌生人,2016,意大利,剧情 喜剧,8.5,483240,来啊，互相伤害啊！,https://movie.douban.com/subject/26614893/
244,末路狂花,1991,美国 英国 法国,犯罪 剧情 惊悚,8.8,205042,没有了退路，只好飞向自由。,https://movie.douban.com/subject/1291992/
245,心灵奇旅,2020,美国,动画 奇幻 音乐,8.7,835564,,https://movie.douban.com/subject/24733428/
246,千年女优,2001,日本,动画 剧情 爱情,8.8,219796,爱情是一场没有尽头的虚幻追逐。,https://movie.douban.com/subject/1307394/
247,驴得水,2016,中国大陆,剧情 喜剧,8.3,836257,过去的如果就让它过去了，未来只会越来越糟！,https://movie.douban.com/subject/25921812/
248,聚焦,2015,美国,剧情 传记,8.8,250391,新闻人的理性求真。,https://movie.douban.com/subject/25954475/
249,小萝莉的猴神大叔,2015,印度,剧情 喜剧 动作,8.4,446979,宝莱坞的萝莉与大叔。,https://movie.douban.com/subject/26393561/
